CONGLOME,VIVIENDA,HOGAR,CODPERSO,GENERO,EDAD,FACTOR_EXPANSION,NIVEL_EDUCATIVO,TIENE_BILLETERA,USA_BILLETERA,TIENE_BILLETERA_ALT_E10,TIENE_BILLETERA_ALT_E6,USA_BILLETERA_ALT_H6,BANCO_PREVIO,FORMAL,OCUPADO,UBIGEO,ESTRATO,DOMINIO,INTERNET_HOGAR,SMARTPHONE,INGHOG2D,GASHOG2D,MIEPERHO,POBREZA,INGRESO_PC,DPTO
15001,126,11,7,2,25,225.326202392578,7.0,1,1,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,01
15001,126,11,8,1,4,225.326202392578,2.0,0,0,,,,0,0,,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,01
15001,126,11,9,2,22,225.326202392578,7.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,01
15001,126,11,10,2,2,225.326202392578,,0,0,,,,0,0,,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,01
15001,163,11,1,1,31,225.326202392578,10.0,1,1,0.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,60570.33203125,22757.501953125,2,3,30285.166015625,01
15001,163,11,2,2,30,225.326202392578,10.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,60570.33203125,22757.501953125,2,3,30285.166015625,01
15003,10,11,1,1,60,69.4570999145508,6.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,62164.66015625,63209.9921875,3,3,20721.553385416668,01
15003,10,11,2,2,53,69.4570999145508,4.0,0,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,1,1,62164.66015625,63209.9921875,3,3,20721.553385416668,01
15003,10,11,3,1,20,69.4570999145508,9.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,62164.66015625,63209.9921875,3,3,20721.553385416668,01
15003,24,11,1,2,55,69.4570999145508,3.0,0,0,1.0,1.0,0.0,0,0,1.0,10101,4,4,1,1,40992.9921875,42218.109375,4,3,10248.248046875,01
15003,24,11,2,1,21,69.4570999145508,7.0,0,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,1,1,40992.9921875,42218.109375,4,3,10248.248046875,01
15003,24,11,3,1,17,69.4570999145508,6.0,0,0,0.0,0.0,0.0,0,0,0.0,10101,4,4,1,1,40992.9921875,42218.109375,4,3,10248.248046875,01
15003,24,11,4,1,15,69.4570999145508,5.0,0,0,0.0,0.0,0.0,0,0,1.0,10101,4,4,1,1,40992.9921875,42218.109375,4,3,10248.248046875,01
15003,54,11,1,1,55,69.4570999145508,10.0,1,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,134302.546875,119875.6015625,4,3,33575.63671875,01
15003,54,11,2,2,54,69.4570999145508,8.0,1,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,134302.546875,119875.6015625,4,3,33575.63671875,01
15003,54,11,3,2,26,69.4570999145508,11.0,0,0,1.0,0.0,1.0,1,1,1.0,10101,4,4,1,1,134302.546875,119875.6015625,4,3,33575.63671875,01
15003,54,11,4,1,22,69.4570999145508,9.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,134302.546875,119875.6015625,4,3,33575.63671875,01
15003,83,11,1,1,64,69.4570999145508,8.0,0,0,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,43725.36328125,41545.47265625,4,3,10931.3408203125,01
15003,83,11,2,2,57,69.4570999145508,4.0,1,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,43725.36328125,41545.47265625,4,3,10931.3408203125,01
15003,83,11,3,1,36,69.4570999145508,9.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,43725.36328125,41545.47265625,4,3,10931.3408203125,01
15003,83,11,4,1,9,69.4570999145508,3.0,0,0,,,,0,0,,10101,4,4,1,1,43725.36328125,41545.47265625,4,3,10931.3408203125,01
15003,99,11,1,2,67,69.4570999145508,1.0,0,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,0,1,7752.625,14246.7822265625,3,3,2584.2083333333335,01
15003,99,11,2,2,37,69.4570999145508,6.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,0,1,7752.625,14246.7822265625,3,3,2584.2083333333335,01
15003,99,11,3,2,12,69.4570999145508,3.0,0,0,,,,0,0,,10101,4,4,0,1,7752.625,14246.7822265625,3,3,2584.2083333333335,01
15003,128,11,1,1,42,69.4570999145508,11.0,1,0,0.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,104910.28125,36880.2109375,2,3,52455.140625,01
15003,128,11,2,1,37,69.4570999145508,9.0,1,1,0.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,104910.28125,36880.2109375,2,3,52455.140625,01
15003,156,11,1,1,29,69.4570999145508,8.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,49572.796875,40652.04296875,2,3,24786.3984375,01
15003,156,11,2,2,24,69.4570999145508,8.0,0,1,1.0,0.0,1.0,1,1,1.0,10101,4,4,1,1,49572.796875,40652.04296875,2,3,24786.3984375,01
